nohup: ignoring input
Parameter Count: 42600909
Training with 22232 image pairs
/home/zexin/anaconda3/envs/raft/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:123: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
[   100,  0.0000140]     0.0366,     0.2120,     0.3605,    15.5604, 
[   200,  0.0000180]     0.0501,     0.2621,     0.4062,    15.0854, 
[   300,  0.0000220]     0.0322,     0.2022,     0.3740,    14.3257, 
[   400,  0.0000259]     0.0310,     0.2054,     0.3866,    14.0342, 
[   500,  0.0000299]     0.0421,     0.2543,     0.4394,    12.8581, 
[   600,  0.0000339]     0.0491,     0.2786,     0.4634,    12.9504, 
[   700,  0.0000379]     0.0627,     0.3215,     0.5020,    11.6422, 
[   800,  0.0000419]     0.0741,     0.3427,     0.5142,    11.6473, 
[   900,  0.0000459]     0.1144,     0.4336,     0.5933,     9.8202, 
[  1000,  0.0000499]     0.1496,     0.4805,     0.6277,     9.7356, 
[  1100,  0.0000539]     0.1798,     0.5091,     0.6429,    10.0052, 
[  1200,  0.0000579]     0.1827,     0.5236,     0.6593,     9.5798, 
[  1300,  0.0000619]     0.2435,     0.5743,     0.6914,     9.2634, 
[  1400,  0.0000659]     0.2719,     0.6063,     0.7162,     8.6420, 
[  1500,  0.0000699]     0.3108,     0.6401,     0.7413,     7.9815, 
[  1600,  0.0000739]     0.3467,     0.6676,     0.7623,     7.4462, 
[  1700,  0.0000779]     0.4087,     0.7014,     0.7848,     6.9002, 
[  1800,  0.0000819]     0.3975,     0.6956,     0.7758,     7.8914, 
[  1900,  0.0000859]     0.4570,     0.7327,     0.8078,     6.4376, 
[  2000,  0.0000899]     0.4850,     0.7352,     0.8048,     7.0156, 
[  2100,  0.0000939]     0.4930,     0.7487,     0.8195,     6.2110, 
[  2200,  0.0000979]     0.5127,     0.7473,     0.8103,     7.2214, 
[  2300,  0.0001019]     0.5310,     0.7656,     0.8288,     6.1948, 
[  2400,  0.0001059]     0.5341,     0.7727,     0.8359,     5.7720, 
[  2500,  0.0001099]     0.5454,     0.7721,     0.8307,     6.1017, 
[  2600,  0.0001139]     0.5673,     0.7906,     0.8470,     5.6339, 
[  2700,  0.0001179]     0.5748,     0.7861,     0.8413,     5.9628, 
[  2800,  0.0001219]     0.5731,     0.7867,     0.8429,     5.7605, 
[  2900,  0.0001259]     0.5890,     0.7966,     0.8492,     6.1630, 
[  3000,  0.0001299]     0.5968,     0.7982,     0.8515,     5.4321, 
[  3100,  0.0001339]     0.5900,     0.7923,     0.8458,     5.9331, 
[  3200,  0.0001379]     0.6016,     0.7992,     0.8514,     5.4309, 
[  3300,  0.0001419]     0.6159,     0.8140,     0.8651,     4.6747, 
[  3400,  0.0001459]     0.6081,     0.8049,     0.8556,     5.5730, 
[  3500,  0.0001499]     0.6299,     0.8203,     0.8681,     5.0863, 
[  3600,  0.0001539]     0.6139,     0.8031,     0.8527,     5.9539, 
[  3700,  0.0001579]     0.6332,     0.8204,     0.8684,     5.0427, 
[  3800,  0.0001619]     0.6597,     0.8300,     0.8744,     5.0396, 
[  3900,  0.0001659]     0.6431,     0.8238,     0.8704,     4.8857, 
[  4000,  0.0001699]     0.6439,     0.8240,     0.8702,     5.0078, 
[  4100,  0.0001739]     0.6501,     0.8281,     0.8741,     4.8364, 
[  4200,  0.0001778]     0.6558,     0.8293,     0.8742,     4.9414, 
[  4300,  0.0001818]     0.6453,     0.8272,     0.8726,     4.8184, 
[  4400,  0.0001858]     0.6490,     0.8291,     0.8738,     4.6933, 
[  4500,  0.0001898]     0.6557,     0.8307,     0.8742,     5.0611, 
[  4600,  0.0001938]     0.6664,     0.8392,     0.8812,     4.4673, 
[  4700,  0.0001978]     0.6745,     0.8393,     0.8804,     4.4766, 
[  4800,  0.0002018]     0.6732,     0.8426,     0.8848,     4.6113, 
[  4900,  0.0002058]     0.6733,     0.8374,     0.8779,     5.2480, 
[  5000,  0.0002098]     0.6662,     0.8390,     0.8797,     4.6110, 
Validation Chairs EPE: 2.813939
[  5100,  0.0002138]     0.6764,     0.8484,     0.8895,     4.2406, 
[  5200,  0.0002178]     0.6921,     0.8531,     0.8904,     4.4995, 
[  5300,  0.0002218]     0.6858,     0.8543,     0.8935,     3.9498, 
[  5400,  0.0002258]     0.6764,     0.8405,     0.8823,     4.5763, 
[  5500,  0.0002298]     0.6807,     0.8486,     0.8875,     4.5486, 
[  5600,  0.0002338]     0.6834,     0.8504,     0.8897,     4.3020, 
[  5700,  0.0002378]     0.6940,     0.8563,     0.8953,     3.9879, 
[  5800,  0.0002418]     0.6810,     0.8483,     0.8881,     4.3441, 
[  5900,  0.0002458]     0.6856,     0.8524,     0.8903,     4.5808, 
[  6000,  0.0002498]     0.7002,     0.8637,     0.9000,     3.9724, 
[  6100,  0.0002498]     0.6965,     0.8607,     0.8988,     3.7328, 
[  6200,  0.0002496]     0.6936,     0.8582,     0.8962,     4.0602, 
[  6300,  0.0002494]     0.6978,     0.8581,     0.8946,     4.3134, 
[  6400,  0.0002491]     0.6956,     0.8610,     0.8980,     4.2593, 
[  6500,  0.0002489]     0.6947,     0.8553,     0.8924,     4.2580, 
[  6600,  0.0002487]     0.7110,     0.8654,     0.9004,     3.8365, 
[  6700,  0.0002485]     0.7046,     0.8614,     0.8974,     4.0226, 
[  6800,  0.0002483]     0.6944,     0.8556,     0.8936,     4.1558, 
[  6900,  0.0002480]     0.6946,     0.8540,     0.8911,     4.5979, 
[  7000,  0.0002478]     0.6898,     0.8601,     0.8983,     3.9469, 
[  7100,  0.0002476]     0.7057,     0.8631,     0.8983,     4.5421, 
[  7200,  0.0002474]     0.6989,     0.8608,     0.8970,     4.2705, 
[  7300,  0.0002472]     0.7134,     0.8680,     0.9026,     3.9135, 
[  7400,  0.0002469]     0.7129,     0.8697,     0.9058,     3.8440, 
[  7500,  0.0002467]     0.7089,     0.8668,     0.9017,     4.1427, 
[  7600,  0.0002465]     0.6986,     0.8599,     0.8966,     4.0874, 
[  7700,  0.0002463]     0.7144,     0.8705,     0.9051,     3.8041, 
[  7800,  0.0002461]     0.7118,     0.8704,     0.9058,     3.6876, 
[  7900,  0.0002458]     0.7208,     0.8729,     0.9064,     3.7097, 
[  8000,  0.0002456]     0.7089,     0.8686,     0.9037,     3.6486, 
[  8100,  0.0002454]     0.7165,     0.8712,     0.9057,     3.9085, 
[  8200,  0.0002452]     0.7218,     0.8770,     0.9102,     3.4478, 
[  8300,  0.0002450]     0.7199,     0.8703,     0.9034,     3.9177, 
[  8400,  0.0002448]     0.7290,     0.8798,     0.9107,     3.7561, 
[  8500,  0.0002445]     0.7197,     0.8747,     0.9082,     3.8692, 
[  8600,  0.0002443]     0.7145,     0.8720,     0.9066,     3.8641, 
[  8700,  0.0002441]     0.7257,     0.8796,     0.9114,     3.5830, 
[  8800,  0.0002439]     0.7200,     0.8756,     0.9084,     3.5661, 
[  8900,  0.0002437]     0.7213,     0.8758,     0.9086,     3.6715, 
[  9000,  0.0002434]     0.7239,     0.8764,     0.9089,     3.9370, 
[  9100,  0.0002432]     0.7214,     0.8733,     0.9061,     4.0401, 
[  9200,  0.0002430]     0.7352,     0.8807,     0.9120,     3.3780, 
[  9300,  0.0002428]     0.7285,     0.8848,     0.9172,     3.0541, 
[  9400,  0.0002426]     0.7276,     0.8796,     0.9127,     3.3919, 
[  9500,  0.0002423]     0.7309,     0.8805,     0.9129,     3.3820, 
[  9600,  0.0002421]     0.7384,     0.8856,     0.9159,     3.2965, 
[  9700,  0.0002419]     0.7355,     0.8903,     0.9209,     3.2302, 
[  9800,  0.0002417]     0.7420,     0.8916,     0.9208,     3.2954, 
[  9900,  0.0002415]     0.7354,     0.8825,     0.9134,     3.6996, 
[ 10000,  0.0002412]     0.7207,     0.8716,     0.9037,     3.8802, 
Validation Chairs EPE: 2.037035
[ 10100,  0.0002410]     0.7517,     0.8919,     0.9212,     3.1941, 
[ 10200,  0.0002408]     0.7320,     0.8822,     0.9145,     3.4132, 
[ 10300,  0.0002406]     0.7558,     0.8959,     0.9250,     3.1070, 
[ 10400,  0.0002404]     0.7415,     0.8873,     0.9169,     3.2205, 
[ 10500,  0.0002402]     0.7409,     0.8871,     0.9175,     3.3961, 
[ 10600,  0.0002399]     0.7494,     0.8959,     0.9239,     3.1413, 
[ 10700,  0.0002397]     0.7487,     0.8940,     0.9230,     2.9137, 
[ 10800,  0.0002395]     0.7487,     0.8936,     0.9227,     3.2297, 
[ 10900,  0.0002393]     0.7442,     0.8893,     0.9194,     3.4697, 
[ 11000,  0.0002391]     0.7407,     0.8866,     0.9172,     3.3826, 
[ 11100,  0.0002388]     0.7424,     0.8896,     0.9207,     3.1216, 
[ 11200,  0.0002386]     0.7538,     0.8945,     0.9231,     2.9880, 
[ 11300,  0.0002384]     0.7530,     0.8970,     0.9257,     2.9910, 
[ 11400,  0.0002382]     0.7492,     0.8925,     0.9220,     3.0992, 
[ 11500,  0.0002380]     0.7449,     0.8908,     0.9205,     3.1480, 
[ 11600,  0.0002377]     0.7573,     0.8991,     0.9277,     2.9131, 
[ 11700,  0.0002375]     0.7460,     0.8921,     0.9215,     3.1406, 
[ 11800,  0.0002373]     0.7499,     0.8984,     0.9269,     3.0479, 
[ 11900,  0.0002371]     0.7330,     0.8813,     0.9120,     3.7965, 
[ 12000,  0.0002369]     0.7360,     0.8860,     0.9178,     3.2842, 
[ 12100,  0.0002366]     0.7442,     0.8943,     0.9233,     2.9968, 
[ 12200,  0.0002364]     0.7505,     0.8968,     0.9263,     2.9027, 
[ 12300,  0.0002362]     0.7563,     0.8974,     0.9251,     2.9065, 
[ 12400,  0.0002360]     0.7529,     0.8977,     0.9257,     3.1612, 
[ 12500,  0.0002358]     0.7519,     0.8929,     0.9219,     3.3463, 
[ 12600,  0.0002355]     0.7575,     0.8969,     0.9245,     3.0558, 
[ 12700,  0.0002353]     0.7569,     0.8984,     0.9268,     2.8064, 
[ 12800,  0.0002351]     0.7422,     0.8903,     0.9203,     3.2206, 
[ 12900,  0.0002349]     0.7564,     0.8997,     0.9289,     2.8862, 
[ 13000,  0.0002347]     0.7457,     0.8923,     0.9218,     3.1129, 
[ 13100,  0.0002345]     0.7605,     0.8979,     0.9259,     2.9818, 
[ 13200,  0.0002342]     0.7576,     0.9015,     0.9290,     2.8029, 
[ 13300,  0.0002340]     0.7457,     0.8938,     0.9228,     3.3231, 
[ 13400,  0.0002338]     0.7553,     0.8987,     0.9267,     2.9194, 
[ 13500,  0.0002336]     0.7639,     0.9024,     0.9295,     2.6959, 
[ 13600,  0.0002334]     0.7653,     0.9072,     0.9342,     2.6226, 
[ 13700,  0.0002331]     0.7555,     0.8993,     0.9271,     3.1380, 
[ 13800,  0.0002329]     0.7554,     0.8968,     0.9247,     3.0759, 
[ 13900,  0.0002327]     0.7646,     0.9046,     0.9310,     2.8552, 
[ 14000,  0.0002325]     0.7599,     0.9026,     0.9294,     3.3072, 
[ 14100,  0.0002323]     0.7696,     0.9045,     0.9301,     2.6739, 
[ 14200,  0.0002320]     0.7504,     0.8942,     0.9233,     2.9090, 
[ 14300,  0.0002318]     0.7567,     0.9037,     0.9313,     2.7904, 
[ 14400,  0.0002316]     0.7642,     0.9002,     0.9273,     2.9132, 
[ 14500,  0.0002314]     0.7733,     0.9094,     0.9350,     2.5634, 
[ 14600,  0.0002312]     0.7523,     0.8982,     0.9264,     3.2014, 
[ 14700,  0.0002309]     0.7618,     0.9036,     0.9307,     2.6355, 
[ 14800,  0.0002307]     0.7616,     0.9065,     0.9341,     2.4893, 
[ 14900,  0.0002305]     0.7602,     0.9029,     0.9292,     3.1467, 
[ 15000,  0.0002303]     0.7671,     0.9045,     0.9309,     2.7782, 
Validation Chairs EPE: 1.697254
[ 15100,  0.0002301]     0.7680,     0.9074,     0.9337,     2.6981, 
[ 15200,  0.0002299]     0.7647,     0.9052,     0.9316,     2.8948, 
[ 15300,  0.0002296]     0.7720,     0.9062,     0.9311,     3.2488, 
[ 15400,  0.0002294]     0.7661,     0.9031,     0.9296,     2.7742, 
[ 15500,  0.0002292]     0.7697,     0.9069,     0.9311,     3.0113, 
[ 15600,  0.0002290]     0.7597,     0.9024,     0.9294,     2.8293, 
[ 15700,  0.0002288]     0.7640,     0.9077,     0.9340,     2.5741, 
[ 15800,  0.0002285]     0.7683,     0.9050,     0.9314,     2.6583, 
[ 15900,  0.0002283]     0.7732,     0.9085,     0.9337,     2.6010, 
[ 16000,  0.0002281]     0.7508,     0.8959,     0.9239,     3.0279, 
[ 16100,  0.0002279]     0.7691,     0.9086,     0.9345,     2.8338, 
[ 16200,  0.0002277]     0.7710,     0.9069,     0.9324,     2.9566, 
[ 16300,  0.0002274]     0.7735,     0.9121,     0.9357,     2.4853, 
[ 16400,  0.0002272]     0.7656,     0.9054,     0.9312,     2.8469, 
[ 16500,  0.0002270]     0.7549,     0.8997,     0.9272,     3.1948, 
[ 16600,  0.0002268]     0.7665,     0.9061,     0.9328,     2.4543, 
[ 16700,  0.0002266]     0.7707,     0.9088,     0.9340,     2.6020, 
[ 16800,  0.0002263]     0.7778,     0.9094,     0.9335,     2.9447, 
[ 16900,  0.0002261]     0.7678,     0.9060,     0.9314,     2.9601, 
[ 17000,  0.0002259]     0.7673,     0.9075,     0.9337,     2.6725, 
[ 17100,  0.0002257]     0.7782,     0.9139,     0.9380,     2.6862, 
[ 17200,  0.0002255]     0.7783,     0.9095,     0.9347,     2.6045, 
[ 17300,  0.0002253]     0.7655,     0.9036,     0.9301,     2.8309, 
[ 17400,  0.0002250]     0.7595,     0.8998,     0.9276,     2.9608, 
[ 17500,  0.0002248]     0.7685,     0.9069,     0.9328,     2.6303, 
[ 17600,  0.0002246]     0.7602,     0.9009,     0.9283,     3.3140, 
[ 17700,  0.0002244]     0.7702,     0.9110,     0.9367,     2.4319, 
[ 17800,  0.0002242]     0.7699,     0.9099,     0.9349,     2.8615, 
[ 17900,  0.0002239]     0.7736,     0.9094,     0.9346,     2.5642, 
[ 18000,  0.0002237]     0.7778,     0.9122,     0.9363,     2.4445, 
[ 18100,  0.0002235]     0.7743,     0.9103,     0.9352,     2.7725, 
[ 18200,  0.0002233]     0.7636,     0.9059,     0.9330,     2.5867, 
[ 18300,  0.0002231]     0.7722,     0.9096,     0.9354,     2.7158, 
[ 18400,  0.0002228]     0.7780,     0.9122,     0.9368,     2.8273, 
[ 18500,  0.0002226]     0.7810,     0.9095,     0.9343,     2.7768, 
[ 18600,  0.0002224]     0.7677,     0.9096,     0.9356,     2.6721, 
[ 18700,  0.0002222]     0.7793,     0.9108,     0.9356,     2.8171, 
[ 18800,  0.0002220]     0.7862,     0.9167,     0.9412,     2.3307, 
[ 18900,  0.0002217]     0.7882,     0.9176,     0.9403,     2.3997, 
[ 19000,  0.0002215]     0.7770,     0.9079,     0.9323,     2.8317, 
[ 19100,  0.0002213]     0.7809,     0.9139,     0.9383,     2.5712, 
[ 19200,  0.0002211]     0.7769,     0.9109,     0.9356,     2.7364, 
[ 19300,  0.0002209]     0.7789,     0.9124,     0.9366,     2.6043, 
[ 19400,  0.0002206]     0.7782,     0.9169,     0.9407,     2.4944, 
[ 19500,  0.0002204]     0.7833,     0.9130,     0.9369,     2.7700, 
[ 19600,  0.0002202]     0.7740,     0.9103,     0.9348,     2.6819, 
[ 19700,  0.0002200]     0.7751,     0.9140,     0.9397,     2.4778, 
[ 19800,  0.0002198]     0.7775,     0.9101,     0.9345,     2.8712, 
[ 19900,  0.0002196]     0.7794,     0.9152,     0.9389,     2.4417, 
[ 20000,  0.0002193]     0.7709,     0.9051,     0.9300,     2.8359, 
Validation Chairs EPE: 1.573806
[ 20100,  0.0002191]     0.7740,     0.9084,     0.9343,     2.7118, 
[ 20200,  0.0002189]     0.7750,     0.9126,     0.9373,     2.6030, 
[ 20300,  0.0002187]     0.7760,     0.9126,     0.9358,     2.6805, 
[ 20400,  0.0002185]     0.7874,     0.9180,     0.9408,     2.4457, 
[ 20500,  0.0002182]     0.7771,     0.9136,     0.9378,     2.5779, 
[ 20600,  0.0002180]     0.7708,     0.9112,     0.9355,     2.4791, 
[ 20700,  0.0002178]     0.7830,     0.9175,     0.9416,     2.2140, 
[ 20800,  0.0002176]     0.7850,     0.9176,     0.9405,     2.4825, 
[ 20900,  0.0002174]     0.7641,     0.9054,     0.9305,     3.1683, 
[ 21000,  0.0002171]     0.7786,     0.9163,     0.9406,     2.2713, 
[ 21100,  0.0002169]     0.7817,     0.9160,     0.9398,     2.3636, 
[ 21200,  0.0002167]     0.7903,     0.9199,     0.9423,     2.2817, 
[ 21300,  0.0002165]     0.7906,     0.9166,     0.9392,     2.5175, 
[ 21400,  0.0002163]     0.7857,     0.9178,     0.9417,     2.4280, 
[ 21500,  0.0002160]     0.7879,     0.9163,     0.9392,     2.4193, 
[ 21600,  0.0002158]     0.7849,     0.9166,     0.9398,     2.5836, 
[ 21700,  0.0002156]     0.7764,     0.9128,     0.9368,     2.7095, 
[ 21800,  0.0002154]     0.7777,     0.9146,     0.9385,     2.4161, 
[ 21900,  0.0002152]     0.7877,     0.9186,     0.9416,     2.4169, 
[ 22000,  0.0002150]     0.7864,     0.9169,     0.9409,     2.2295, 
[ 22100,  0.0002147]     0.7927,     0.9194,     0.9426,     2.4291, 
[ 22200,  0.0002145]     0.7868,     0.9188,     0.9413,     2.6397, 
[ 22300,  0.0002143]     0.7841,     0.9166,     0.9398,     2.3202, 
[ 22400,  0.0002141]     0.7940,     0.9213,     0.9433,     2.1987, 
[ 22500,  0.0002139]     0.7851,     0.9125,     0.9368,     2.6732, 
[ 22600,  0.0002136]     0.7873,     0.9165,     0.9400,     2.3927, 
[ 22700,  0.0002134]     0.7884,     0.9209,     0.9430,     2.4929, 
[ 22800,  0.0002132]     0.7824,     0.9160,     0.9400,     2.4099, 
[ 22900,  0.0002130]     0.7955,     0.9253,     0.9466,     2.4104, 
[ 23000,  0.0002128]     0.7777,     0.9166,     0.9399,     2.6206, 
[ 23100,  0.0002125]     0.7679,     0.9098,     0.9341,     3.0582, 
[ 23200,  0.0002123]     0.7925,     0.9199,     0.9425,     2.5039, 
[ 23300,  0.0002121]     0.7878,     0.9184,     0.9417,     2.4361, 
[ 23400,  0.0002119]     0.7835,     0.9170,     0.9402,     2.4342, 
[ 23500,  0.0002117]     0.7829,     0.9173,     0.9400,     2.3877, 
[ 23600,  0.0002114]     0.7787,     0.9166,     0.9411,     2.4190, 
[ 23700,  0.0002112]     0.7773,     0.9130,     0.9366,     2.8746, 
[ 23800,  0.0002110]     0.7917,     0.9205,     0.9430,     2.2139, 
[ 23900,  0.0002108]     0.7933,     0.9199,     0.9423,     2.4498, 
[ 24000,  0.0002106]     0.7848,     0.9130,     0.9366,     2.5079, 
[ 24100,  0.0002104]     0.7854,     0.9175,     0.9405,     2.3257, 
[ 24200,  0.0002101]     0.7930,     0.9238,     0.9463,     2.1964, 
[ 24300,  0.0002099]     0.7917,     0.9190,     0.9419,     2.4864, 
[ 24400,  0.0002097]     0.7785,     0.9143,     0.9384,     2.6176, 
[ 24500,  0.0002095]     0.7956,     0.9249,     0.9467,     2.2823, 
[ 24600,  0.0002093]     0.7957,     0.9260,     0.9484,     2.1128, 
[ 24700,  0.0002090]     0.7899,     0.9198,     0.9429,     2.3173, 
[ 24800,  0.0002088]     0.7841,     0.9183,     0.9413,     2.5745, 
[ 24900,  0.0002086]     0.7921,     0.9214,     0.9432,     2.3870, 
[ 25000,  0.0002084]     0.7878,     0.9204,     0.9424,     2.5310, 
Validation Chairs EPE: 1.493180
[ 25100,  0.0002082]     0.7864,     0.9173,     0.9400,     2.8918, 
[ 25200,  0.0002079]     0.7783,     0.9142,     0.9393,     2.3750, 
[ 25300,  0.0002077]     0.7873,     0.9194,     0.9427,     2.3076, 
[ 25400,  0.0002075]     0.7994,     0.9244,     0.9457,     2.2414, 
[ 25500,  0.0002073]     0.7930,     0.9193,     0.9423,     2.3662, 
[ 25600,  0.0002071]     0.7865,     0.9188,     0.9413,     2.2351, 
[ 25700,  0.0002068]     0.7844,     0.9180,     0.9409,     2.4999, 
[ 25800,  0.0002066]     0.7895,     0.9211,     0.9443,     2.3077, 
[ 25900,  0.0002064]     0.7948,     0.9235,     0.9453,     2.1696, 
[ 26000,  0.0002062]     0.7943,     0.9212,     0.9434,     2.4821, 
[ 26100,  0.0002060]     0.7951,     0.9236,     0.9454,     2.1552, 
[ 26200,  0.0002057]     0.7889,     0.9179,     0.9406,     2.5190, 
[ 26300,  0.0002055]     0.7839,     0.9184,     0.9415,     2.3172, 
[ 26400,  0.0002053]     0.7889,     0.9198,     0.9420,     2.4703, 
[ 26500,  0.0002051]     0.7869,     0.9216,     0.9444,     2.2292, 
[ 26600,  0.0002049]     0.7902,     0.9188,     0.9415,     2.3232, 
[ 26700,  0.0002047]     0.7941,     0.9242,     0.9463,     2.1300, 
[ 26800,  0.0002044]     0.7949,     0.9251,     0.9470,     2.1297, 
[ 26900,  0.0002042]     0.8030,     0.9298,     0.9504,     1.9843, 
[ 27000,  0.0002040]     0.7995,     0.9266,     0.9486,     2.2133, 
[ 27100,  0.0002038]     0.7988,     0.9260,     0.9465,     2.2219, 
[ 27200,  0.0002036]     0.7968,     0.9230,     0.9447,     2.6427, 
[ 27300,  0.0002033]     0.7980,     0.9252,     0.9457,     2.4858, 
[ 27400,  0.0002031]     0.8034,     0.9270,     0.9479,     2.2451, 
[ 27500,  0.0002029]     0.7977,     0.9244,     0.9455,     2.3428, 
[ 27600,  0.0002027]     0.7987,     0.9262,     0.9476,     2.0289, 
[ 27700,  0.0002025]     0.7952,     0.9262,     0.9469,     2.2878, 
[ 27800,  0.0002022]     0.7999,     0.9238,     0.9453,     2.4404, 
[ 27900,  0.0002020]     0.7937,     0.9220,     0.9431,     2.3140, 
[ 28000,  0.0002018]     0.7992,     0.9252,     0.9469,     2.1182, 
[ 28100,  0.0002016]     0.7817,     0.9177,     0.9407,     2.6128, 
[ 28200,  0.0002014]     0.8043,     0.9283,     0.9494,     2.4204, 
[ 28300,  0.0002011]     0.7947,     0.9234,     0.9455,     2.1965, 
[ 28400,  0.0002009]     0.7981,     0.9270,     0.9485,     2.0577, 
[ 28500,  0.0002007]     0.8039,     0.9259,     0.9461,     2.7321, 
[ 28600,  0.0002005]     0.8025,     0.9240,     0.9452,     2.3250, 
[ 28700,  0.0002003]     0.7883,     0.9214,     0.9436,     2.2876, 
[ 28800,  0.0002001]     0.7982,     0.9227,     0.9438,     2.3822, 
[ 28900,  0.0001998]     0.7959,     0.9253,     0.9455,     2.2792, 
[ 29000,  0.0001996]     0.7928,     0.9206,     0.9423,     2.5440, 
[ 29100,  0.0001994]     0.7921,     0.9200,     0.9430,     2.1765, 
[ 29200,  0.0001992]     0.8056,     0.9288,     0.9496,     2.1802, 
[ 29300,  0.0001990]     0.8026,     0.9255,     0.9465,     2.2038, 
[ 29400,  0.0001987]     0.8023,     0.9278,     0.9482,     2.2219, 
[ 29500,  0.0001985]     0.7974,     0.9258,     0.9472,     2.3584, 
[ 29600,  0.0001983]     0.8004,     0.9272,     0.9481,     2.1113, 
[ 29700,  0.0001981]     0.8105,     0.9322,     0.9518,     2.0826, 
[ 29800,  0.0001979]     0.8025,     0.9256,     0.9462,     2.1674, 
[ 29900,  0.0001976]     0.7952,     0.9252,     0.9463,     2.2024, 
[ 30000,  0.0001974]     0.8001,     0.9258,     0.9467,     2.2281, 
Validation Chairs EPE: 1.353319
[ 30100,  0.0001972]     0.8030,     0.9333,     0.9529,     1.8551, 
[ 30200,  0.0001970]     0.7982,     0.9247,     0.9459,     2.1513, 
[ 30300,  0.0001968]     0.8044,     0.9259,     0.9470,     2.4109, 
[ 30400,  0.0001965]     0.7974,     0.9262,     0.9474,     2.0543, 
[ 30500,  0.0001963]     0.7999,     0.9273,     0.9481,     2.5365, 
[ 30600,  0.0001961]     0.7938,     0.9220,     0.9433,     2.4150, 
[ 30700,  0.0001959]     0.7921,     0.9231,     0.9453,     2.2735, 
[ 30800,  0.0001957]     0.7928,     0.9230,     0.9448,     2.4166, 
[ 30900,  0.0001955]     0.8016,     0.9316,     0.9521,     1.8660, 
[ 31000,  0.0001952]     0.8104,     0.9275,     0.9473,     2.0426, 
[ 31100,  0.0001950]     0.7956,     0.9244,     0.9460,     2.1567, 
[ 31200,  0.0001948]     0.8018,     0.9245,     0.9455,     2.4777, 
[ 31300,  0.0001946]     0.7880,     0.9213,     0.9426,     2.5843, 
[ 31400,  0.0001944]     0.8047,     0.9309,     0.9508,     2.1910, 
[ 31500,  0.0001941]     0.7984,     0.9268,     0.9479,     2.2266, 
[ 31600,  0.0001939]     0.7984,     0.9250,     0.9459,     2.2231, 
[ 31700,  0.0001937]     0.8041,     0.9269,     0.9468,     2.4487, 
[ 31800,  0.0001935]     0.8077,     0.9307,     0.9505,     1.9454, 
[ 31900,  0.0001933]     0.8042,     0.9289,     0.9486,     2.0469, 
[ 32000,  0.0001930]     0.8134,     0.9327,     0.9525,     1.9844, 
[ 32100,  0.0001928]     0.8040,     0.9282,     0.9483,     2.1984, 
[ 32200,  0.0001926]     0.8013,     0.9279,     0.9483,     2.1980, 
[ 32300,  0.0001924]     0.8014,     0.9272,     0.9476,     2.0141, 
[ 32400,  0.0001922]     0.8118,     0.9322,     0.9516,     2.2260, 
[ 32500,  0.0001919]     0.7968,     0.9224,     0.9437,     2.5090, 
[ 32600,  0.0001917]     0.8012,     0.9280,     0.9480,     2.3874, 
[ 32700,  0.0001915]     0.8115,     0.9307,     0.9508,     1.9624, 
[ 32800,  0.0001913]     0.8026,     0.9272,     0.9476,     2.1857, 
[ 32900,  0.0001911]     0.8076,     0.9304,     0.9504,     2.1816, 
